60,admin.,divorced,secondary,no,174,yes,no,cellular,15,may,241,1,364,1,failure,no
59,management,single,tertiary,no,7668,no,no,cellular,5,aug,124,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,247,2,-1,0,unknown,no
30,management,single,tertiary,no,55,no,no,cellular,21,aug,132,1,-1,0,unknown,no
30,services,married,secondary,no,208,no,no,cellular,9,sep,324,1,-1,0,unknown,no
34,management,married,tertiary,no,5195,no,no,cellular,21,nov,25,3,-1,0,unknown,no
28,management,single,tertiary,no,502,no,no,cellular,16,jun,136,2,-1,0,unknown,yes
46,retired,married,secondary,no,23,yes,yes,cellular,7,aug,122,2,-1,0,unknown,no
31,services,married,secondary,no,1801,yes,no,telephone,6,feb,136,1,274,2,failure,no
34,technician,single,tertiary,no,2671,no,no,cellular,19,aug,119,9,-1,0,unknown,no
53,blue-collar,married,secondary,no,1027,no,no,cellular,21,nov,102,1,121,1,failure,no
53,unknown,divorced,tertiary,no,2272,yes,no,unknown,14,may,243,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,328,yes,yes,cellular,21,nov,18,7,-1,0,unknown,no
55,blue-collar,married,primary,no,-1217,yes,no,cellular,19,aug,242,4,-1,0,unknown,no
32,management,single,tertiary,no,574,yes,no,cellular,20,nov,171,1,127,2,failure,no
35,management,single,tertiary,no,1750,yes,no,cellular,21,apr,333,3,-1,0,unknown,yes
28,technician,single,tertiary,no,968,no,yes,cellular,22,jul,470,2,-1,0,unknown,no
29,management,single,tertiary,no,499,yes,no,cellular,15,may,338,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,2093,no,no,cellular,24,sep,224,2,444,1,failure,yes
30,services,single,secondary,no,-271,yes,no,cellular,7,may,609,1,337,1,success,yes
51,services,married,secondary,no,0,no,no,cellular,18,jul,439,3,-1,0,unknown,no
42,services,single,secondary,no,0,yes,no,cellular,14,may,67,7,177,1,other,no
47,technician,married,secondary,no,536,yes,no,cellular,18,may,778,2,336,2,success,no
38,blue-collar,single,tertiary,no,14058,no,no,telephone,17,jul,293,20,-1,0,unknown,no
34,blue-collar,married,secondary,no,1134,yes,no,cellular,17,apr,408,1,329,2,failure,no
54,admin.,married,tertiary,no,19,no,no,cellular,26,aug,131,2,-1,0,unknown,no
39,services,married,secondary,no,1930,yes,no,cellular,15,jul,92,3,-1,0,unknown,no
34,technician,single,secondary,no,0,no,no,telephone,10,jul,185,1,-1,0,unknown,no
39,housemaid,married,tertiary,no,315,no,no,cellular,28,aug,53,4,-1,0,unknown,no
30,technician,married,tertiary,no,0,no,no,cellular,21,aug,351,6,-1,0,unknown,no
32,blue-collar,single,secondary,no,338,yes,no,unknown,13,may,73,3,-1,0,unknown,no
37,blue-collar,married,secondary,no,15801,yes,no,unknown,14,may,456,9,-1,0,unknown,no
41,blue-collar,married,primary,no,241,yes,no,cellular,20,apr,170,1,150,1,failure,no
78,retired,divorced,tertiary,no,1016,no,no,cellular,22,jun,524,1,-1,0,unknown,no
42,housemaid,single,secondary,no,578,no,no,telephone,28,jan,44,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,457,yes,yes,unknown,27,may,188,1,-1,0,unknown,no
36,admin.,divorced,secondary,no,1089,yes,no,telephone,13,may,83,5,175,4,other,no
48,management,married,tertiary,no,3419,yes,no,cellular,17,nov,75,1,-1,0,unknown,no
58,retired,married,secondary,no,3909,yes,no,unknown,3,jun,80,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,876,yes,no,telephone,18,may,93,2,-1,0,unknown,no
43,blue-collar,married,primary,no,487,yes,no,unknown,7,may,548,2,-1,0,unknown,no
35,technician,single,tertiary,no,5301,no,no,cellular,21,nov,937,2,-1,0,unknown,yes
32,unemployed,single,primary,no,1429,no,no,cellular,8,mar,150,4,-1,0,unknown,no
48,admin.,divorced,secondary,no,83,yes,no,cellular,13,may,1101,1,-1,0,unknown,yes
36,admin.,divorced,secondary,no,592,no,no,cellular,14,jan,96,7,93,7,success,no
27,student,single,tertiary,no,5291,no,no,cellular,12,aug,345,2,-1,0,unknown,no
33,technician,married,tertiary,no,15,no,no,cellular,21,aug,97,2,-1,0,unknown,no
54,services,single,secondary,no,559,yes,yes,unknown,3,jun,242,6,-1,0,unknown,no
66,housemaid,divorced,primary,no,204,no,no,telephone,13,aug,213,1,-1,0,unknown,no
39,services,married,secondary,no,2381,yes,yes,cellular,29,jul,91,3,-1,0,unknown,no
50,management,married,secondary,no,628,no,yes,unknown,2,jun,367,3,-1,0,unknown,no
58,technician,married,primary,yes,-247,no,no,unknown,6,jun,179,1,-1,0,unknown,no
59,technician,married,secondary,no,0,no,no,cellular,29,aug,62,2,-1,0,unknown,no
65,retired,married,tertiary,no,162,no,no,cellular,2,feb,141,2,-1,0,unknown,no
46,technician,married,secondary,no,138,yes,no,cellular,7,apr,226,2,-1,0,unknown,no
47,blue-collar,married,primary,no,273,yes,no,cellular,21,jul,91,3,-1,0,unknown,no
40,blue-collar,married,primary,no,-616,yes,no,cellular,21,nov,182,1,157,2,failure,no
44,management,married,secondary,no,488,no,yes,cellular,29,jan,138,2,183,11,failure,no
26,blue-collar,single,secondary,no,-5,no,no,unknown,19,may,260,1,-1,0,unknown,no
43,unknown,married,primary,no,0,yes,no,cellular,9,jul,132,1,-1,0,unknown,no
46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no
35,management,married,tertiary,no,611,no,no,cellular,1,oct,305,2,121,1,success,yes
40,blue-collar,married,primary,no,117,yes,no,unknown,9,may,215,2,-1,0,unknown,no
34,services,married,secondary,no,279,yes,no,unknown,27,may,498,1,-1,0,unknown,no
36,services,married,secondary,no,4721,no,no,cellular,9,jun,150,1,92,5,success,yes
33,blue-collar,married,secondary,no,0,no,yes,cellular,18,jul,453,3,-1,0,unknown,no
31,services,married,secondary,no,203,no,no,cellular,9,jul,359,1,-1,0,unknown,no
37,entrepreneur,married,unknown,no,1134,yes,no,unknown,9,jun,142,3,-1,0,unknown,no
31,management,single,tertiary,no,453,yes,no,unknown,30,may,58,3,-1,0,unknown,no
45,management,married,secondary,no,625,no,no,unknown,20,jun,13,3,-1,0,unknown,no
29,admin.,married,secondary,no,1634,yes,no,unknown,4,jun,402,2,-1,0,unknown,no
37,technician,married,tertiary,no,905,yes,no,cellular,25,aug,111,7,-1,0,unknown,no
31,technician,single,tertiary,no,2744,yes,no,cellular,8,aug,309,2,-1,0,unknown,no
37,technician,single,secondary,no,3,yes,no,cellular,8,aug,90,5,-1,0,unknown,no
40,services,single,secondary,no,224,yes,no,cellular,17,apr,875,2,-1,0,unknown,yes
41,blue-collar,married,primary,no,595,yes,no,cellular,11,may,54,1,-1,0,unknown,no
30,management,single,secondary,no,460,yes,no,cellular,18,nov,86,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,0,yes,no,cellular,8,may,171,1,172,3,failure,no
